hrvw 害人之心不可有，防人之心不可无
qyfu; 牵一发而动全身
rbqq 惹不起还躲不起
rpiv 人怕出名猪怕壮
rviu 人之初，性本善
rxbx 人心不足蛇吞象
sghi 三个和尚没水吃
shvd 四海之内皆兄弟
sjhh 三句话不离本行
ssnt 岁岁年年人不同
ssxd 三岁小孩都知道
stsw 三天三夜说不完
svbt 死猪不怕开水烫
symz; 死要面子活受罪
sztd 色字头上一把刀
tbjj 听不进不同意见
tdhq 跳到黄河洗不清
tjbm 偷鸡不着蚀把米
tjhq 跳进黄河洗不清
tpti; 踏破铁鞋无觅处
tqyx 听其言而观其行
tryl 天若有情天亦老
ttdm 条条大路通罗马
tttr 剃头挑子一头热
tubb 天上不会掉馅饼
tutr 同是天涯沦落人
tuwy 天生我材必有用
twlp 天王老子都不怕
txwh 天下乌鸦一般黑
tycl 太阳从西边出来
tzbc; 兔子不吃窝边草
ubjn 胜不骄，败不馁
ubnu; 胜败乃兵家常事
ubum 失败是成功之母
udbt 说的比唱的好听
uduh 上刀山，下火海
udyu 书到用时方恨少
uiul 山重水复疑无路
ujcs 圣基茨和尼维斯
ujdt 伤筋动骨一百天
ulbw; 上梁不正下梁歪
uljw 神龙见首不见尾
upbd 生怕别人不知道
uqul 山穷水尽疑无路
usld 瘦死骆驼比马大
uubr 伸手不打笑脸人
uuik 说时迟，那时快
uurn 上山容易下山难
uuwj 识时务者为俊杰
uvbx; 身正不怕影子斜
uvwk 胜者为王败者寇
uwcy 身无彩凤双飞翼
uyfh 扇阴风，点鬼火
uyiy 师夷长技以制夷
uyjn 事因经过始知难
uyjv 树欲静而风不止
uyyl 山雨欲来风满楼
uzch; 身在曹营心在汉
uzff 身在福中不知福
vhrg 中华人民共和国
vqbv 知其不可而为之
vrug 众人拾柴火焰高
vrvx 知人知面不知心
vudq 纸上得来终觉浅
vudr 只是当时已惘然
vuwg 这山望着那山高
vvmu 占着茅坑不拉屎
vvsu; 置之死地而后生
vvyh 睁着眼睛说瞎话
vvyr 只重衣衫不重人
vxyx 只羡鸳鸯不羡仙
vyuv 只缘身在此山中
vywi 只因未到伤心处
wgjy; 无规矩不成方圆
wjus 吾将上下而求索
wknq 无可奈何花落去
wtru 为他人作嫁衣裳
wyev 勿以恶小而为之
wyuw 勿以善小而不为
wyxc 为伊消得人憔悴
xbrm 小不忍则乱大谋
xfhu 相逢何必曾相识
xfyi 相逢一笑泯恩仇
xguh 新官上任三把火
xhiu 鲜花插在牛粪上
xilx 咸吃萝卜淡操心
xjja 雄赳赳，气昂昂
xjpx 新加坡国立大学
xtzh 挟天子以令诸侯
xvls 新账老账一起算
xylt 心有灵犀一点通
xyyz 心有余而力不足
ybbl 一把鼻涕一把泪
ybcc 一步错，步步错
ybjf 眼不见，心不烦
ybjx 语不惊人死不休
ybpm 犹抱琵琶半遮面
ybvq 玉不琢，不成器
ybxg 言必信，行必果
ybzx 一不做，二不休
ycgj 一寸光阴一寸金
yezs 一而再，再而三
ygbx 一个巴掌拍不响
yglk 一个萝卜一个坑
ygvj 有过之而无不及
yhuu; 一回生，二回熟
yjgk 一将功成万骨枯
yjgt 远近高低各不同
yked 一哭二闹三上吊
ykud 一块石头落了地
ylhj 远来和尚好看经
ymiu 羊毛出在羊身上
yqfz 有其父必有其子
yqjv 一切尽在不言中
yqnm 有钱能使鬼推磨
yrfe 一日夫妻百日恩
yrwy 月如无恨月长圆
yrzd; 一人做事一人当
yujl; 一石激起千层浪
yuye; 一是一，二是二
yuzh 一失足成千古恨
yvdc 眼中钉，肉中刺
yxng 英雄难过美人关
yxvu 一心只读圣贤书
yxwd 英雄无用武之地
yyjr; 一语惊醒梦中人
yylb 有一利必有一弊
yyqh 有缘千里来相会
yytv 冤有头，债有主
zdbx 最毒不过妇人心
zwvj 醉翁之意不在酒
zxdi 宰相肚里能撑船
zyyz 子欲养而亲不在
oqfd; /fendou
itb 长痛不如短痛
ixd 吃香的喝辣的
mrb 明人不说暗话
mvu 摸着石头过河
ply 碰了一鼻子灰
unp 说你胖你就喘
vvy 睁只眼闭只眼
xgv 香港中文大学
yqb 远亲不如近邻
amds 哀莫大于心死
bddt 不登大雅之堂
bdyv; 不得已而为之
bfil 不费吹灰之力
bfqb 不分青红皂白
bfyz 不费一兵一卒
bgzv 八竿子打不着
bjux 北京师范大学
bkty 不可同日而语
bqgy 毕其功于一役
brtw 不如退而结网
bsrq 比死人多口气
buud 不是省油的灯
bvdm 不知道为什么
bvqr 不知其所以然
bvth 不知天高地厚
bwbj 百闻不如一见
bwqb; 不问青红皂白
bxbd 不许百姓点灯
bybs 不要不好意思
bzwd 不足为外人道
dbth 大白天说梦话
dfyf 东风压倒西风
dkfm 大开方便之门
dlxv; 断了线的风筝
dmgl 当面鼓对面锣
dmlg 当面锣对面鼓
dvlz 打肿脸充胖子
dyjj 东一句西一句
dzjx 达则兼济天下
dzzx 刀子嘴豆腐心
ewbj 耳闻不如一见
fixy 放长线钓大鱼
fmnj 风马牛不相及
fnjc 飞鸟尽良弓藏
fqdv 反其道而行之
gbij 高不成低不就
gbvq 高标准严要求
